Rusia;A;70;19;16;10;23;45
Uruguay;A;14;24;20;12;13;56
Arabia Saudita;A;67;3;11;2;-28;16
Egipto;A;45;0;5;2;-7;7
España;B;10;30;18;15;27;63
Portugal;B;4;14;10;6;14;30
Iran;B;37;2;9;4;-15;15
Marruecos;B;41;2;9;5;-8;16
Dinamarca;C;12;9;6;5;4;20
Francia;C;7;33;19;13;41;65
Peru;C;11;5;10;3;-12;18
Australia;C;36;2;10;4;-18;16
Croacia;D;20;11;7;4;11;22
Argentina;D;5;43;23;15;44;81
Nigeria;D;48;6;12;3;-7;21
Islandia;D;22;0;2;1;-3;3
Brazil;E;2;73;18;18;124;109
Suiza;E;6;12;17;8;-14;37
Serbia;E;34;18;20;8;3;46
Costa Rica;E;23;5;8;5;-9;18
Suecia;F;24;19;19;13;7;51
Mexico;F;15;16;27;14;-38;57
Alemania;F;1;67;22;20;101;109
Corea del Sur;F;57;6;19;9;-36;34
Belgica;G;3;19;19;9;-6;47
Inglaterra;G;12;29;18;21;29;68
Tunez;G;21;2;9;4;-12;15
Panama;G;55;0;3;0;-9;3
Colombia;H;16;9;10;3;2;22
Japon;H;61;5;11;5;-9;21
Senegal;H;27;3;2;3;1;8
Polonia;H;8;16;13;5;1;34
