Fecha;Tipo Partido;Equipo 1;Equipo 2;Goles Equipo 1 ;Goles Equipo 2
15/07/1930;Oficial;Argentina;Francia;1;0
28/06/1950;Oficial;Brasil;Suiza;2;2
11/11/1961;Oficial;Marruecos;España;0;1
22/11/1961;Oficial;España;Marruecos;3;2
06/06/1978;Oficial;Argentina;Francia;2;1
22/06/1982;Oficial;Peru;Polonia;1;5
11/06/1986;Oficial;Portugal;Marruecos;1;3
21/06/1986;Oficial;Alemania;Mexico;0;0
12/06/1990;Oficial;Egipto;Holanda;1;1
21/06/1990;Oficial;Egipto;Inglaterra;0;1
26/06/1990;Oficial;Inglaterra;Belgica;0;0
26/06/1990;Oficial;Inglaterra;Belgica;0;0
27/06/1994;Oficial;Alemania;Corea del Sur;3;2
11/10/1994;Oficial;Suiza;Suecia;4;2
05/09/1995;Oficial;Suecia;Suiza;0;0
28/03/1997;Oficial;Croacia;Dinamarca;1;1
09/09/1997;Oficial;Dinamarca;Croacia;3;1
15/06/1998;Oficial;Inglaterra;Tunez;2;0
16/06/1998;Oficial;Marruecos;Brasil;0;3
23/06/1998;Oficial;Marruecos;Escocia;3;0
26/06/1998;Oficial;Argentina;Croacia;1;0
26/06/1998;Oficial;Colombia;Inglaterra;0;2
29/06/1998;Oficial;Alemania;Mexico;2;1
09/02/1999;Amistoso;Croacia;Dinamarca;0;1
29/07/1999;Oficial;Egipto;Arabia Saudita;1;5
09/10/1999;Amistoso;Inglaterra;Belgica;2;1
09/10/1999;Amistoso;Inglaterra;Belgica;2;1
12/11/1999;Amistoso;Francia;Croacia;3;0
27/05/2000;Amistoso;Croacia;Francia;0;2
24/04/2001;Amistoso;Suiza;Suecia;0;2
01/06/2001;Oficial;Australia;Francia;1;0
01/06/2001;Oficial;Corea del Sur;Mexico;2;1
11/11/2001;Amistoso;Australia;Francia;1;1
26/01/2002;Oficial;Mexico;Corea del Sur;0;0
27/03/2002;Amistoso;Arabia Saudita;Uruguay;3;2
27/03/2002;Amistoso;Polonia;Japon;0;2
27/03/2002;Amistoso;Suecia;Suiza;1;1
31/05/2002;Oficial;Senegal;Francia;1;0
04/06/2002;Oficial;Polonia;Corea del Sur;0;2
06/06/2002;Oficial;Senegal;Dinamarca;1;1
10/06/2002;Oficial;Polonia;Portugal;0;4
10/06/2002;Oficial;Tunez;Belgica;1;1
11/06/2002;Oficial;Senegal;Uruguay;3;3
16/06/2002;Oficial;Senegal;Suecia;2;1
17/06/2002;Oficial;Brasil;Belgica;2;0
25/06/2002;Oficial;Alemania;Corea del Sur;1;0
22/06/2003;Oficial;Japon;Colombia;0;1
10/09/2003;Amistoso;Japon;Senegal;0;1
18/02/2004;Amistoso;Belgica;Francia;0;2
05/06/2004;Amistoso;Dinamarca;Croacia;1;2
17/06/2004;Oficial;Croacia;Francia;2;2
20/06/2004;Oficial;España;Portugal;0;1
11/07/2004;Oficial;Brasil;Costa Rica;4;1
19/12/2004;Amistoso;Corea del Sur;Alemania;3;1
21/01/2005;Amistoso;Suecia;Corea del Sur;1;1
26/01/2005;Amistoso;Suecia;Mexico;0;0
13/03/2005;Amistoso;Arabia Saudita;Egipto;0;1
31/05/2005;Amistoso;Colombia;Inglaterra;2;3
29/06/2005;Oficial;Alemania;Mexico;3;3
12/11/2005;Amistoso;Corea del Sur;Suecia;2;2
15/02/2006;Amistoso;Mexico;Corea del Sur;0;1
01/03/2006;Amistoso;Argentina;Croacia;2;3
27/05/2006;Amistoso;España;Rusia;0;0
30/05/2006;Amistoso;Polonia;Colombia;1;2
31/05/2006;Amistoso;Francia;Dinamarca;2;0
14/06/2006;Oficial;Arabia Saudita;Tunez;2;2
14/06/2006;Oficial;Polonia;Alemania;0;1
17/06/2006;Oficial;Portugal;Iran;2;0
19/06/2006;Oficial;Tunez;España;1;3
20/06/2006;Oficial;Suecia;Inglaterra;2;2
20/06/2006;Oficial;Polonia;Costa Rica;2;1
20/06/2006;Oficial;Suecia;Inglaterra;2;2
23/06/2006;Oficial;Arabia Saudita;España;0;1
24/06/2006;Oficial;Suecia;Alemania;0;2
16/08/2006;Amistoso;Egipto;Uruguay;0;2
16/08/2006;Amistoso;Alemania;Suecia;3;0
06/09/2006;Amistoso;Suiza;Costa Rica;2;0
06/09/2006;Oficial;Rusia;Croacia;0;0
11/10/2006;Oficial;Croacia;Inglaterra;2;0
15/11/2006;Amistoso;Suiza;Brasil;1;2
06/02/2007;Amistoso;Australia;Dinamarca;1;3
07/02/2007;Amistoso;Francia;Argentina;0;1
05/06/2007;Oficial;Japon;Colombia;0;0
05/06/2007;Amistoso;Japon;Colombia;0;0
06/06/2007;Oficial;Croacia;Rusia;0;0
21/11/2007;Oficial;Inglaterra;Croacia;2;3
10/06/2008;Oficial;España;Rusia;4;1
26/06/2008;Oficial;Rusia;España;0;3
10/09/2008;Oficial;Croacia;Inglaterra;1;4
28/01/2009;Amistoso;Mexico;Suecia;0;1
11/02/2009;Amistoso;Francia;Argentina;0;2
31/05/2009;Amistoso;Japon;Belgica;4;0
31/05/2009;Oficial;Japon;Belgica;4;0
09/09/2009;Oficial;Inglaterra;Croacia;5;1
31/03/2010;Amistoso;Francia;Dinamarca;2;0
